Arsalan,18166925
Traffic Gastropub,18414440
Aminia,24485
Riwaz ,18814153
Momo I Am,18361657
XII Zodiacâ€¬ - The Fern Residency,18270247
McDonald's,21540
Kabuliwala,18249172
Cafe JUNKtion,18598556
Pizza Hut,18855816
Friends Of Pho,21370
KFC,18848647
Munch&Chow,20894
The Orient,18747216
Jiban Jamuna,22033
The Bahamas,18540729
Nest - Howard Johnson,18533930
Social Kitchen - Holiday Inn,18440204
Veg Dhaba,18420511
Domino's Pizza,20983
New Rangeela Dhaba,21486
Sandwich Wala,18204189
Koshe Kosha,24471
Shinryu Restaurant & Bar,22571
The Flavours King,18852703
On My Way,18784426
Bhikaram Chandmal,18544137
Subway,22094
Keventers,18765201
Chai Break,18296335
Singh Flavours,18420512
Mama Mia!,25018
Mehak-e-Punjab,18296320
Afraa Deli,22113
Urban Kitchen & Bar,18603757
Lazeez Express,23303
Gazab Ba Restaurant,18462847
Royal Corner,18805858
Chef Mao,18325265
Blue Nile,21881
Yummy Tummy Delicious Food Corner,18718384
Food O Holic,18706023
Krazy For Chocolates,18414419
Super Haji Biryani,18514988
Universal Cuisine,18701556
VIP Sweets,18213963
Best Flavours,18777670
Durbari - Swissotel Kolkata Neotia Vista,18270239
Blue Nile Lounge,21502
Chai,18354591
Mangalam Snacks,18755916
The Tibetan Flavours,18597883
Guptas Veg,18689883
Z Momo,18762639
Zazz Cafe,18765495
Waah Kachori,18837038
Wang's Kitchen,18793603
Raj Darbar,18600007
Tea Junction,23757
Simply Corn,25017
Cafe Coffee Day,21099
Kulfiano,18386813
Hidden Dragon,25529
Cookie Man,18440220
The Gastro Hub,18552699
Flavour's,25530
Chaat Corner,18721165
Sizzling Sizzler,25524
Rishob Food Center,18677113
Rollick Ice Cream,21710
Mio Amore,25309
Coriander - Regenta Inn Larica,18311161
Cafe Swiss - Swissotel Kolkata Neotia Vista,21499
T AND T KITCHEN,18461747
Ira Lifestyle Cafe - Pipal Tree Hotel,24679
Cheers,25526
Bhikharam Chandmal & Grandsons,18287751
Alishan Biryani,18515000
Biryani Company,18612052
Maaya Bar - Swissotel Kolkata Neotia Vista,21500
Petukk,18465190
Asia In Box,24384
Flurys,23708
Dil Kolkata,18741914
NPG Hotel & Restaurant,25616
Henshel E Bangali Khabar,18414415
Dabbawala,18670430
Ganguram,18236271
The Cloud 9,18143263
Yin Yang,21870
Ulaaas Bar cum Restaurant,25492
Curry Patta,25528
Just Baked,23261
Mom's Chaats,25525
Amico Kitchen,18634093
GreedyGo,18640065
Hotel Viceroy,18134903
Nasha,22093
On The Way,18166898
Manu's,18799011
The Cream & Fudge Factory,25013
Vian,18558856
Corn & Fries,23925
Bad Boyz - Food Bites,18575817
Bakearia,18619784
Grill Thrill,18649588
Oh Yeah Maggiiii,18655555
Kathleen,23043
Rajkumar Sweets,24204
Food Villa,18887267
Chipootli,25527
Mommy's kitchen,18655568
Naee Khushboo,18720492
Spice It Up,18840851
Kolkata Taj Biryani,18884304
Food Buxx,18887617
The Mall Road,18675868
Corporate Kitchen,18552355
Aung Bong Chong,18665933
Zion Lounge,23451
Bablu Sweets,22328
Haji Niyaz Biryani,18642637
Gayen's,22124
Bangaleeana,18325254
Baker's Maker,18287262
Kwality Wall's Swirl's,20971
Snacks & More,18143253
Binjara Crafts & Cafe,18611900
Luv U Kolkata,18892717
